name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Tyler Alexander,2021,DET,15,106.1,3.81,1.26,7.4,7.379830348727616,2.3751178133836004,1.3572101790763433,4.312158341187559
Steven Matz,2021,TOR,29,150.2,3.82,1.334,8.6,8.628495339547271,2.5765645805592543,1.078561917443409,3.6993342210386153
Corey Kluber,2021,NYY,16,80.0,3.83,1.338,9.2,9.225,3.7125,0.9,3.6875
Jordan Montgomery,2021,NYY,30,157.1,3.83,1.278,9.3,9.28071292170592,2.9217059197963082,1.0884786760025462,3.683768300445576
Aaron Civale,2021,CLE,21,124.1,3.84,1.118,7.2,7.179693795326351,2.2481869460112813,1.6680096696212734,4.763255439161966
Nathan Eovaldi,2021,BOS,36,203.0,3.86,1.187,9.8,9.753694581280788,1.7733990147783252,0.7536945812807881,2.7123152709359606
Rich Hill,2021,TBR,31,158.2,3.86,1.21,8.5,8.533501896333755,3.128950695322377,1.1946902654867257,4.072313527180784
Matthew Boyd,2021,DET,15,78.2,3.89,1.271,7.7,7.710997442455243,2.6470588235294117,1.0358056265984654,3.8649616368286446
Luis Garcia,2021,HOU,33,171.0,3.89,1.216,9.9,9.894736842105262,3.263157894736842,1.1578947368421053,3.76140350877193
Sean Manaea,2021,OAK,32,179.1,3.91,1.227,9.7,9.748743718592964,2.0603015075376883,1.2562814070351758,3.5350083752093804
Jos\xc3\xa9 Urquidy,2021,HOU,22,114.2,3.92,1.047,7.7,7.723292469352014,1.6549912434325744,1.4973730297723291,4.198248686514886
Marco Gonzales,2021,SEA,25,143.1,3.96,1.165,6.8,6.7924528301886795,2.6415094339622645,1.8238993710691824,5.205590496156534
Luis Castillo,2021,CIN,33,187.2,3.98,1.364,9.2,9.230769230769232,3.605769230769231,0.9134615384615384,3.6700854700854704
Jake Woodford,2021,STL,8,67.2,3.99,1.345,6.7,6.696428571428571,3.3482142857142856,0.9374999999999999,4.182142857142857
Chris Sale,2021,BOS,12,51.2,4.01,1.413,11.0,11.07421875,2.8125,1.40625,3.7078125
Dylan Cease,2021,CHC,33,167.1,4.03,1.267,12.3,12.280071813285458,3.8240574506283664,1.0771992818671454,3.3017354877318974
David Price,2021,LAD,11,73.2,4.03,1.425,7.1,7.131147540983607,3.19672131147541,0.9836065573770492,4.101639344262296
Joe Ryan,2021,MIN,5,26.2,4.05,0.788,10.1,10.305343511450383,1.717557251908397,1.3740458015267176,3.4671755725190843
James Kaprielian,2021,OAK,21,119.1,4.07,1.223,9.3,9.29471032745592,3.09823677581864,1.4357682619647356,4.241141897565072
Johnny Cueto,2021,SFG,21,114.2,4.08,1.369,7.7,7.723292469352014,2.364273204903678,1.182136602451839,3.979334500875657
Tucker Davidson,2021,ATL,5,22.0,4.09,1.273,7.8,7.7727272727272725,4.5,1.227272727272727,4.745454545454546
John Gant,2021,STL,21,110.0,4.09,1.509,7.5,7.5272727272727264,5.8090909090909095,0.8181818181818182,4.6454545454545455
