team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
PIT,2022,4.618,1.4129999999999998,7.58,7.600246498520259,3.2763609682716037,1.2119845733332022,4.35382104012288
PIT,2023,5.67,1.4846,8.129999999999999,8.16314528394857,3.913762815757329,1.3810767806083397,4.685444003031474
PIT,2024,4.415,1.310375,7.7125,7.740322421475011,2.636586950993933,1.1871010846962151,4.07349223456473
PIT,2025,3.9444444444444446,1.271222222222222,8.266666666666667,8.279032811652716,3.1640796580977035,1.0560879933596001,3.9403685849624983
SDP,2021,4.968999999999999,1.3598000000000001,9.28,9.302566026955114,3.7203226572351595,1.4789846735852616,4.509181852711517
SDP,2022,3.882857142857143,1.224,9.071428571428571,9.102132235780363,3.0869034970234424,1.2162563347701512,3.963086485724619
SDP,2023,3.961,1.3042,8.66,8.682725156845844,3.3367851866987963,1.183992455200788,4.092978573779439
SDP,2024,4.43875,1.311625,8.15,8.168733670866569,3.0902423140689526,1.2471898317235035,4.216303045875474
SDP,2025,4.449,1.2576,8.24,8.25528256804251,3.2237570644375153,1.5508509333765939,4.680196465680361
SEA,2021,4.538571428571428,1.3295714285714286,7.885714285714286,7.884207360327876,3.201341836358434,1.3880733919202404,4.520062764820297
SEA,2022,3.608571428571428,1.251,8.528571428571428,8.538517247197627,2.9396241248296073,1.0488415045003177,3.7974197153997444
SEA,2023,4.67875,1.2835,8.15,8.182591786904036,2.4571340905377075,1.4365133029029198,4.275654626171446
SEA,2024,3.4966666666666666,1.0555,8.116666666666667,8.136918693220185,1.8590636040887591,1.2215746477167269,3.7759804273492623
SEA,2025,4.134285714285714,1.223142857142857,8.4,8.415733400839882,2.6685980064976365,1.3350269289976633,4.147741921642529
SFG,2021,3.97125,1.26275,9.1375,9.16835919676194,2.979331467871729,0.9783010423464116,3.5687988400660733
