team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
SFG,2022,4.176666666666666,1.3573333333333333,8.166666666666666,8.184186150773673,2.5714486156558594,1.0202848391935744,3.7121862727707446
SFG,2023,4.258181818181819,1.2537272727272728,8.30909090909091,8.35437800258698,2.5043255645603564,1.237697693587102,3.9660323005710483
SFG,2024,4.6866666666666665,1.329,9.68888888888889,9.739013899023767,3.8754933432371947,1.179515874983109,4.0313509562716074
SFG,2025,4.632222222222222,1.4254444444444445,8.922222222222222,8.98043906563103,3.9327193216880607,1.0819496879482606,4.078069530792168
STL,2021,4.335,1.3376000000000001,7.07,7.092380220015111,3.5185688134320685,1.1595628204836492,4.47169585183927
STL,2022,4.04,1.3326363636363636,7.590909090909091,7.607023812046188,3.361411485656505,0.9106697282836248,3.9454325889515847
STL,2023,5.553333333333334,1.595,7.133333333333334,7.1530157323185835,3.621253047388952,1.3060256939103077,4.704006855373743
STL,2024,4.22875,1.278375,7.9125000000000005,7.915318829510048,2.82843938493805,1.1435590919961696,4.035660965749362
STL,2025,4.758333333333334,1.3456666666666666,6.6499999999999995,6.667735650909164,2.6699401442366066,1.2606696684800214,4.4292283134590855
TBR,2021,3.8063636363636366,1.2061818181818182,8.763636363636364,8.801659309818694,2.826660345376945,1.13978384124341,3.8326502614064197
TBR,2022,3.8666666666666663,1.2286666666666666,8.288888888888888,8.292337628986429,2.723873304270467,1.320903874575955,4.173188336036217
TBR,2023,4.031818181818182,1.2113636363636362,9.027272727272727,9.057020202111987,2.672474703895249,1.114297009978153,3.68769387079753
TBR,2024,3.941111111111111,1.2514444444444444,8.644444444444444,8.672476800380007,2.6556108827345875,1.3085364757255915,4.048094803541827
TBR,2025,4.00375,1.220625,8.3875,8.40049865620854,3.0766913034913697,1.1680051803559972,4.045904882520555
TEX,2021,5.801111111111111,1.4058888888888887,7.877777777777778,7.9204688499310505,3.160186021936367,1.5665249963342782,4.75604947981029
TEX,2022,5.123333333333333,1.437888888888889,8.066666666666666,8.105076615290066,3.5744802832343328,1.42692150519046,4.651474131844316
TEX,2023,3.808,1.1928,8.82,8.846728111474231,2.7444371796069182,1.1262327122032203,3.7756533971682393
TEX,2024,4.588888888888889,1.2835555555555556,7.866666666666666,7.895685029694367,2.9030649598611364,1.3165326832533326,4.314749966943111
TEX,2025,3.4050000000000002,1.17025,8.225,8.245142879468663,2.8560710671954346,1.0340162635081949,3.8133487631395013
TOR,2021,4.025714285714286,1.2358571428571428,9.457142857142857,9.512025206792762,2.8382171112543384,1.4060389619792033,4.063234158434127
TOR,2022,4.5375,1.287875,8.25,8.264105604857646,2.5799038766858375,1.2776993113653168,4.069065718676816
TOR,2023,3.9483333333333337,1.3096666666666668,8.833333333333334,8.852878788754772,3.1710227774960216,1.3292183307680736,4.2096832283292756
TOR,2024,3.8728571428571428,1.1865714285714286,8.72857142857143,8.750742373557294,2.9059196910975964,1.3109612326367157,4.117641150050612
TOR,2025,4.406000000000001,1.2888,8.41,8.435076593490223,3.1347957071539057,1.511540244609121,4.553806346044428
WSN,2021,4.4590000000000005,1.3445,8.129999999999999,8.168958506710151,3.4903821517111475,1.652331793344255,4.934838083909828
WSN,2022,5.5055555555555555,1.4984444444444445,7.477777777777778,7.495236559956173,3.5983862643880804,1.6457813255047564,5.111093656090414
WSN,2023,5.512857142857143,1.563857142857143,7.757142857142857,7.762328741396246,4.18674893980708,1.6554110439193062,5.2617703230644155
WSN,2024,4.068333333333333,1.2868333333333333,8.533333333333333,8.542228757753014,2.9158974314878017,1.0169607733855308,3.7426360925521425
WSN,2025,4.67375,1.35225,7.6625,7.703936738751511,3.116032884039692,1.207825367691504,4.271328328289512
